query,platform,video_id,title,description,channel_title,published_at,tags,views,likes,comments,engagement_score,mention_atomberg,mention_orient,mention_havells,mention_crompton,mention_polycab
smart fan,youtube,XY-mLcbkiIY,Atomberg Renesa Helo Smart Bldc Fan ❄️🌪️ #fan #shorts #atomberg #smart #bldc,Atomberg Renesa Helo Smart Bldc Fan ❄️🌪️ #fan #shorts #atomberg #smart #bldc.,Travel with Sajal,2025-05-07T02:03:02Z,fan|bldc|atomberg|shorts|ytshorts|smartfan,12462,74,3,12862,True,False,False,False,False
smart fan,youtube,hdDels9Z5ww,Atomberg Renesa 1200mm BLDC Motor 5 Star | Ceiling fan Installation #electricalelectricianwireman,bldcfan #smartfan #electricalelectricianwireman #google Atomberg Renesa 1200mm BLDC Motor 5 Star | Atomberg Ceiling fan ...,Electrical Electrician Wireman,2023-07-29T04:30:25Z,Light|Ceiling fan|Fan|Ceiling|Lighting|Remote control|fans|best ceiling fan|bladeless ceiling fan|ceiling fan with light|flush mount ceiling fan|modern ceiling fan|smart fan|ceiling fan review|best ceiling fans 2023|Atomberg|Atomberg Renesa+ Ceiling Fan|ceiling fan with remote installation|bidc ceiling fan|bide fan|atomberg fans|BLDC MOTOR|SUPER EFFICIENT|BOOST|SLEE|TIMER MODE|HIGH AIR|LED INDICATION FOR SPEED|GV3 RENESA 1200MM|google|short|air fan,1610406,25777,239,1741681,True,False,False,False,False
smart fan,youtube,IbTuwG4n7cA,FanLamp Pro App Pair Guide,App pair guide.,smart home,2023-08-14T04:03:59Z,,420625,1539,213,430450,False,False,False,False,False
smart fan,youtube,arZ8JQupASM,"Coooool Breeze for Days 🌬️🍃🍃🍃🍃🍃LG Smart Inverter Fan Deals 😎👌🏾 Special Offer $38,999+GCT",,Enersave Solutions,2023-07-16T21:45:27Z,,20270,157,1,21065,False,False,False,False,False
smart fan,youtube,VQpdtszVEBk,Dreo smart fan,,Teofilmvisuals,2024-07-11T13:51:53Z,,15142,138,1,15842,False,False,False,False,False
energy efficient fan,youtube,eUqNCj2T55I,Atomberg renesa smart plus 1200 mm ceiling fan pearl white unboxing #atomberg #atombergfan #renesa,,Gtfuturetechnology,2024-09-15T08:00:02Z,,441173,2333,34,453178,True,False,False,False,False
energy efficient fan,youtube,bRW2z6D96OU,Atomberg BLDC Ceiling Fan 💸 This Fan Saves ₹1500/year!  Atomberg Renesa Halo #Shorts,Atomberg Renesa 1200mm – Smartest Fan in India? BLDC + Voice Control #Shorts Looking for a stylish and ...,Lovepreet Singh,2025-05-11T08:30:15Z,Atomberg Renesa Halo|Atomberg fan review|smart ceiling fan India|BLDC ceiling fan|Atomberg fan unboxing|energy saving fan|1200mm ceiling fan|Atomberg Renesa review|Renesa Halo smart fan|tech shorts|home gadgets 2025|atomberg fan features|smart fan with remote|best fan for summer 2025|bldc fan|atomberg fans|atomberg Renesa Halo Smart|atomberg Renesa Elite|atomberg Renesa Enzel|atomberg Efficio Alpha|atomberg Renesa+|atomberg Aris Contour Smart,236004,1941,12,245829,True,False,False,False,False
energy efficient fan,youtube,SwRKYEhK8dI,Best BLDC Ceiling Fan In 2025⚡Top 3 BLDC Fan 2025 in India Atomberg Renesa Enzel BLDC Fan,atomberg renesa enzel review atomberg renesa enzel 1200mm atomberg renesa enzel 1200mm review atomberg renesa enzel ...,Gadgets Munch,2025-04-10T08:51:16Z,best ceiling fan|best ceiling fan in india|best ceiling fan 2025|best ceiling fan 2025 in india|best ceiling fan in india 2025|best bldc fan in india|best bldc fan 2025|best bldc ceiling fan in india 2025|best bldc fan in 2025|best bldc fan in india 2025|best bldc ceiling fan in india|best ceiling fans 2025|best fan in 2025|best ceiling fan for home|best bldc ceiling fan|best bldc motor ceiling fan in 2025|best bldc celling in 2025,331264,1795,87,341109,True,False,False,False,False
energy efficient fan,youtube,vp5mqP-BaBQ,Normal Fan vs BLDC Fan | Detailed Comparison ⚡️ 2023 ⚡️ English,"In this video, We have done a detailed comparison of Why you should buy a BLDC Ceiling fan over a Normal Ceiling fan, and also ...",SimpleGhar Hindi,2022-04-14T14:15:10Z,normal fans vs bldc fans|ordinary fans vs bldc fans|normal ceiling fans|what is bldc fan|best bldc fans|difference between ordinary fans and bldc fans|bldc fans|brushless dc fans|basic difference of ordinary fan and bldc fan|bldc fan|ordinary fans|bldc fan vs normal fan|smart ceiling fan|ceiling fans|best ceiling fans|ceiling fan|how to know best stabilizer for you,53050,864,57,57940,False,False,False,False,False
energy efficient fan,youtube,rX7lkKdowbU,🌀 Best BLDC Ceiling Fan in India 2024 | Atomberg vs Havells vs Crompton vs Orient - Top Picks!,Upgrade your home with our comprehensive review of the Best BLDC Ceiling Fans in India for 2024! We compare leading brands ...,Brand Investigation,2024-02-28T14:30:19Z,best bldc ceiling fan in india 2024|best ceiling fan in india|best bldc fan in india|best bldc ceiling fan in india|best ceiling fan|best bldc ceiling fan|best ceiling fan 2024 in india|bldc ceiling fan|atomberg bldc ceiling fan|crompton bldc ceiling fan|best ceiling fan in india 2024|bldc ceiling fan price in india|best bldc fan 2024 in india|best ceiling fan 2024,272882,2411,108,286017,True,True,True,True,False
